1	483551349.566365
z03mangahere	Takkoku!!!	44.5	441517774.663302	L	http://www.mangahere.com/manga/takkoku/	441517774.663302
9		431751180.198238	431751266.077588
8		431751177.662598	431751177.662598
7		431751177.662598	431751177.662598
6		431751177.662598	431751177.662598
5		431751177.662598	431751177.662598
4		431751177.662598	431751177.662598
3		431751177.662598	431751177.662598
2		431751177.662598	431751177.662598
1		431751177.662598	431751177.662598
10		431751267.320661	431758973.824055
11		431758975.354052	431759085.183707
12		431759086.789353	431759282.133647
13		431759283.915147	431759435.363256
14		431759496.724458	431759733.538862
15		431759735.401923	431759898.586476
16		431759900.268486	431760053.381961
17		431760053.683688	431760309.287286
18		431760311.102169	431760479.918182
19		431760481.906875	431760590.411573
20		431927283.539933	431927475.478496
21		431927477.327849	431927611.173296
22		431927613.007963	431927689.246707
23		431927691.242121	431927737.818140
24		431927738.859289	431927813.057177
25		431927814.738864	431927866.028248
26		431927867.371821	431927930.900467
27		431927931.885772	431927980.404600
28		431927981.959391	431928044.810839
29		431928045.981398	431928125.750257
30	21	431928127.269695	431928186.944543
31	21	432364830.275220	432364942.375074
32	25	432968545.447229	432968654.532125
33	19	433576252.443972	433576378.948708
34	22	434209834.399704	434209943.550567
35	20	434785148.167030	434785280.934460
36	22	435344181.820241	435346712.384931
36.5	6	436104595.724202	436104634.397710
37	26	437251087.630690	437251234.711197
38		438415529.319549	438415530.690074
39	19	438415531.383078	438415568.766480
40	1	439097647.701685	439097649.395571
41		439707702.394537	439707702.394537
42	1	440225238.612913	440225240.132149
43		440911367.620218	440911478.815548
44	28	440911479.324362	440911730.732205
44.5	12	441517774.663302	441517866.384336
