1	488213628.634187
z03mangahere	Black Bullet	20.5	488213558.255993	L	http://www.mangahere.com/manga/black_bullet/	488213558.255993
8	53	393091302.072745	393091451.224069
4		393090665.551070	393090813.604018
5		393090815.044246	393090967.337916
6		393090997.384157	393091158.087278
7	15	425192922.040850	425192954.146641
3		394692287.293685	394692287.293685
2		394692287.293685	394692287.293685
1		394692287.293685	394692287.293685
9	41	395426532.251343	395438124.135464
9.5	15	398279427.003629	398279589.658238
10	16	425192959.239868	425192966.050290
11	34	404135651.189123	404135770.418315
14		415343995.372531	415344119.512087
12		409814237.511884	409814237.511884
12.5		425192887.270356	425192903.756528
13	11	425192971.721983	425192989.421338
15	20	415344119.654779	415344180.763911
16	1	425192990.715549	425192992.084093
17	18	457078178.605491	457078273.160896
17.1	11	458888776.406780	458888864.936904
18	19	460596271.868047	460596317.837702
18.5	11	469127074.124515	469127144.784615
19	26	472798015.280051	472798093.394982
19.5	11	476894267.953118	476894316.336967
20		488213374.827766	488213557.214069
20.5	12	488213558.255993	488213628.624071
