1	518649411.179166
z03mangahere	"Aoi" - Hikaru ga Chikyuu ni Itakoro......	441	518609396.926520	L		518609396.926520
mangareader	Kaichou wa Maid-sama!	0.000000	0.000000
z05mangapanda	Naruto	0.000000	0.000000
z06kissmanga	One Piece	0.000000	0.000000
mangafoxmb	Onepunch-Man	0.000000	0.000000
z09mangatown	Shokugeki no Soma	0.000000	0.000000
z02batoto	Stealth Symphony	0.000000	0.000000
mangafox	World Trigger	0.000000	0.000000
z03mangahere	Zettai Heiwa Daisakusen	0.000000	0.000000
177		419886528.248648	419886633.732016
215		419920607.615350	419920665.701373
1		424895012.817680	424895266.095680
2		424905725.348436	424905925.699627
3		424905927.051199	424906033.775149
4		424906035.079202	424906058.293600
5	35	424906059.960490	424906147.548047
6	39	457077902.163244	457078171.344481
7		457243927.431078	457244027.115131
8	32	457244028.984773	457244124.771970
9	38	457452888.578176	457453039.341166
10		458052092.463374	458052217.871563
11	1	459017867.615734	459017873.392426
12		419643325.870045	419643361.807627
13		419643362.873043	419643434.323267
14		419643435.681956	419643487.179812
15		419643488.520454	419643520.249314
16		419643521.469640	419643562.336158
17		419643563.682558	419643643.526343
18		419643644.649385	419643708.115404
19		419643709.502311	419643760.486143
20		419643761.727047	419643826.291816
21		419643827.672798	419643891.814534
22		419643893.107552	419643923.716964
23		419643924.953526	419643956.436396
24		419643957.823580	419643988.939264
25		419643990.183084	419644028.192606
26		419644029.914942	419644100.431770
27		419644101.801193	419644150.969266
28		419644152.182604	419644209.774391
29		419644211.268210	419644264.060221
30		419644265.233751	419644391.287682
31		419644392.622415	419644447.861311
32		419644449.660928	419644551.786651
33		419644552.867226	419644615.497467
34		419644617.288552	419644673.746838
35		419644674.941438	419644724.418044
36		419644725.628476	419644772.222106
37		419644773.553361	419644807.308635
38		419644808.573919	419644866.211300
39		419644867.250290	419644924.600609
40		419644926.834990	419645004.008478
41		419645004.574493	419645057.860868
42		419645059.151260	419645116.599250
43		419645216.569681	419645271.512702
44		419645273.272870	419645337.812267
45		419645339.540805	419645412.433302
46		419645414.191908	419645483.506985
47		419645485.881464	419645540.213075
48		419645542.399621	419645573.487643
49		419645574.620372	419645623.736639
50		419645625.445589	419645672.574649
51		419645674.085150	419645714.044578
52		419645715.763986	419645793.851032
53		419645796.149914	419645878.289462
54		419645880.427983	419645936.663332
55		419645937.871072	419645983.067055
56		419645984.462861	419646010.402778
57		419646011.599188	419646040.455314
58		419646041.705484	419646101.460818
59		419646102.736751	419647430.987527
60		419647431.979371	419647492.994417
61		419647494.044727	419647526.135816
62		419647526.676827	419647585.969011
63		419647587.965500	419647629.972703
64		419647631.178439	419647667.475745
65		419647668.864482	419647748.182684
66		419647749.555470	419647787.002901
67		419647787.548476	419647815.688408
68		419669180.635469	419669295.225342
69		419669296.408619	419669413.399823
70		419669414.577211	419669499.591733
71		419669501.311951	419669577.982605
72		419669579.750648	419669646.105146
73		419669647.848033	419669747.012543
74		419669748.304431	419669830.904165
75		419669832.887465	419669909.408492
76		419669911.123533	419669990.049256
77		419669991.404516	419670042.038688
78		419670043.423301	419670092.859819
79		419735034.665844	419735126.473876
80		419735127.965537	419735240.017035
81		419735241.805368	419735327.088854
82		419735329.051403	419735438.465057
83		419735439.744433	419735492.536314
84		419735494.119776	419735560.210829
85		419735562.216617	419735628.283408
86		419735629.988101	419735724.006293
87		419735726.687984	419735786.913355
88		419735788.629671	419735855.400427
89		419735857.134900	419735926.225601
90		419735928.340329	419735976.480003
91		419735978.274811	419736035.349454
92		419736037.259744	419736103.423711
93		419736104.024150	419736186.880368
94		419736187.255606	419736245.918989
95		419736247.692312	419736295.237862
96		419736295.830449	419736375.262413
97		419736376.003224	419736477.586511
98		419736479.326585	419736532.393212
99		419736533.904165	419736707.039188
100		419736708.396567	419736770.177909
101		419736771.883319	419736803.814046
102		419736806.598938	419736893.671673
103		419736894.868067	419736928.357974
104		419736930.608999	419736987.663812
105		419736991.946211	419737041.168001
106		419737041.710936	419737070.304445
107		419737071.612349	419744601.932696
108		419744603.087663	419744903.730880
109		419750053.972344	419750081.631772
110		419750083.538449	419750168.022411
111		419750169.966357	419750255.110862
112		419750256.804089	419750342.851762
113		419750344.661734	419750400.190347
114		419750401.902730	419750441.976734
115		419750443.682989	419750522.016810
116		419750523.966735	419750575.871415
117		419750577.625663	419750623.583373
118		419750625.347039	419750675.785703
119		419750677.880438	419750723.370305
120		419750725.086069	419750817.077657
121		419750818.881661	419750878.919711
122		419750880.118750	419750936.935534
123		419750938.691377	419751008.727179
124		419751009.965727	419751106.640510
125		419751107.343002	419751182.291760
126		419751184.250270	419751234.477212
127		419751234.940186	419751275.216432
128		419751276.923130	419751341.872002
129		419751343.074872	419751391.990608
130		419751393.355315	419751448.511989
131		419751450.394003	419751533.555156
132		419751534.770908	419751614.128390
133		419751615.359956	419751659.465926
134		419751660.826036	419751743.637074
135		419751745.513704	419751825.694384
136		419751827.638196	419751870.131139
137		419751871.852665	419751934.703333
138		419751936.799732	419752003.161277
139		419752004.281100	419752061.714109
140		419752063.059862	419752093.200064
141		419752095.361616	419752152.071796
142		419752153.993973	419752198.377959
143		419752200.176011	419752331.271859
144		419752331.652239	419752385.765664
145		419752387.465413	419752433.812300
146		419752435.867469	419752505.670670
147		419752507.583085	419752552.372350
148		419752554.278010	419752595.811652
149		419752597.798248	419752638.265571
150		419752639.986646	419752693.453314
151		419752695.389016	419752744.538733
152		419752746.282253	419752820.197359
153		419752822.161577	419752882.984815
154		419752884.726543	419752985.693933
155		419752987.639319	419753020.145356
