1	556668379.840105
z03mangahere	Wanting To Touch You	67	556073724.551731	B	29	556073724.551731
0		527435517.524796	527435540.279591
1		527435541.007723	527435597.033900
2	13	527435598.059594	527435636.610377
3	13	528346884.961499	528346945.691949
4	14	535612552.086331	535612598.243742
5	19	542296595.010122	542296607.056309
64	6	538980175.384659	538980184.253358
66	6	540066570.312347	540066579.041284
67	1	556073724.551731	556073726.863234
8	20	543391747.558787	543391802.116509
9		544974256.716156	544976033.647327
10		544976034.471555	544976118.415939
11		545239286.463390	545239344.116245
15	20	547688445.734079	547688480.238465
68	3	548045134.661510	548045141.762084
16	26	548222277.196835	548222318.315662
18	23	549471204.098591	549471246.000807
69	2	549921720.774402	549921726.760531
19	37	550412888.799517	550412958.636856
20		550466685.517601	550466711.056223
17		551072043.909879	551072043.909879
14		551072043.909879	551072043.909879
13		551072043.909879	551072043.909879
7		551072043.909879	551072043.909879
6		551072043.909879	551072043.909879
22		552011264.880906	552011286.437075
71		553462502.738241	553462502.738241
23		553565587.052174	553565633.822158
24	23	553565634.496242	553565662.843498
72		554095219.759884	554095219.759884
26		554736657.024227	554736742.495233
29		556073674.094770	556073723.859419
