1	558977678.380973
z03mangahere	Shingeki no Kyojin Gaiden - Kuinaki Sentaku	8.7	430660707.341411	L	http://www.mangahere.cc/manga/shingeki_no_kyojin_gaiden_kuinaki_sentaku/	430660707.341411
1		425972053.892777	425972211.719900
0		425972050.749082	425972050.749082
2		425972213.150000	425972308.811943
3		425972310.734495	425972495.844607
4		425972497.819851	425972600.202841
5	1	427988119.404194	427988120.718683
6	2	427988139.918624	427988142.522726
7		425972818.849839	425972956.833111
8	40	427988143.943352	427988147.186272
1.1	9	427988077.094025	427988086.107370
4.5		427988088.182788	427988118.241304
5.5		427988122.073790	427988139.592492
8.5	12	429021809.399414	429021869.522974
8.6	6	429075147.957450	429075201.419145
8.7	6	430660707.341411	430660732.318765
