1	531667657.558437
z03mangahere	Hirunaka no Ryuusei	78.9	531667403.965715	L	http://www.mangahere.com/manga/hirunaka_no_ryuusei/	531667403.965715
1		403759544.511346	403759764.478563
2		403759764.556239	403759913.745034
3		403759913.818387	403760097.728832
4		403760097.811698	403760209.260073
5		403760209.328125	403760318.993712
6		403760319.055920	403760416.310597
7		403760416.371802	403760543.343642
8		403760543.421040	403760662.343687
9		403760662.425777	403760741.492772
10		403760741.572425	403760814.893672
11		403760814.964048	403760936.976970
12		403760937.034548	403761035.376993
13		403761035.455535	403761137.843677
14		403761137.915162	403761282.560300
15		403761282.647191	403761374.244015
16		403761374.321271	403761462.143612
17		403761462.204612	403761523.560314
18		403761523.624006	403761582.144280
19		403761582.205076	403761647.827549
20		403761647.897855	403761712.093844
21		403761712.151777	403761787.693620
21.5		403761787.730997	403761814.093645
22		403761814.172608	403761901.627037
22.5		403761901.700561	403761934.326980
23		403761934.395011	403761986.627013
24		403761986.685477	403762069.093646
25		403762069.161807	403762145.693661
26		403762145.757092	403762197.677260
27		403762222.919131	403762638.460498
28		403762638.533876	403762679.893710
29		403762679.960507	403762818.210289
30		403762818.282684	403762867.235830
31		403762867.301517	403763081.328330
32		403763081.408982	403763164.893527
33		403763164.957771	403763229.495091
34	25	403763229.562821	403763284.232113
35	27	403846514.870550	403846589.262171
36	26	403931426.286117	403931571.353344
37	7	403968761.366850	403968784.805099
22.6	17	404048359.614101	404048389.160494
38	26	404100942.177381	404100993.962288
39	27	404192377.570858	404192471.579228
40		404338706.050471	404338776.042770
41	26	404338776.106667	404338844.379049
42	27	404458117.044632	404458203.903012
43		404541451.482386	404541553.776779
44	27	404541553.841849	404541621.243912
45		404708704.232632	404708917.644483
46	11	404708917.714567	404709505.834320
47		404796722.195902	404796806.914590
48	27	404796806.972362	404796905.683616
49	26	404882209.744200	404882369.968682
50	28	405056111.295168	405056196.642263
51	28	405227871.932825	405228025.075022
52	26	405661224.540876	405661338.189110
53	26	406355288.775879	406355412.538133
54		407456590.611784	407456590.611784
57		409292059.708863	409292059.708863
56		409292059.708863	409292059.708863
55		409292059.708863	409292059.708863
58	1	409464453.144818	409464455.431065
59	25	410550039.412463	410550137.753894
60	28	411107352.361719	411107500.504042
61	27	413524666.221468	413524777.495778
60.5	31	418185159.842772	418185407.312292
62		418185410.508589	418185410.508589
63		418185411.005238	418185411.005238
64.5	3	428650674.737539	428650683.955493
64		418185440.007733	418185557.973438
65	26	419190826.488232	419190938.882523
66		428650685.218770	428650686.267863
67	1	428650686.848350	428650689.499928
68	29	424038588.676610	424038728.106476
69	31	424750282.235670	424750366.117850
70	28	425787222.080721	425787294.010917
71	26	428650691.330148	428650695.206506
72	27	429942968.530111	429943095.583987
72.1		430141692.403397	430141699.102500
72.2	19	430141699.620751	430141705.500447
73	26	431579313.012786	431579493.275610
74	26	432775316.016477	432775435.527588
75	30	433824480.218313	433824594.598034
76	26	436190762.518438	436190764.547501
40.5	27	436190653.438551	436190752.568814
77	28	437021361.740619	437021475.161933
78	56	439184222.574861	439184482.374403
72.5	17	441308614.408686	441308721.100696
78.5	1	444804900.669097	452400683.441265
78.4		451800526.825407	451800526.825407
78.1		452400662.658743	452400683.019478
78.6	52	453608816.888190	453609074.427291
34.5	51	456717165.608077	456717376.355412
78.7	10	470442074.342707	470442126.743294
78.8	51	513519299.938095	513519559.719379
78.9	33	531667403.965715	531667656.908571
