1	556737228.885713
z03mangahere	Kyou no Kira-kun	30	537375631.559991	L	http://www.mangahere.cc/manga/kyou_no_kira_kun/	537375631.559991
1.1		414391630.359110	414391838.494029
1.2		414391840.282931	414392143.427745
2		414392145.258503	414392338.560530
3		414392340.812364	414392522.977331
3.5		414392524.496355	414392610.393963
4		414392612.449528	414392851.044472
5		414392853.024723	414393025.543917
6		414393027.298882	414393151.694257
7		414393153.344840	414393293.694017
8		414393295.103884	414393491.494023
9		414393492.913511	414393595.610615
9.5		414393597.453100	414393619.860925
10		414393621.804774	414393755.177342
11	46	414393757.425137	414393919.356298
12	39	417058447.550101	417058572.997103
13	41	417759131.622151	417759389.676148
14	41	418881173.035707	418881320.370211
15	41	419427529.194033	419427727.891722
16	40	420057722.009581	420057856.331471
17	42	421673526.511661	421673696.314279
18	41	424664564.445966	424664703.335825
19	41	424930100.487894	424930253.287968
20	44	427002288.133921	427002398.210676
21	41	436854518.077966	436854702.197654
22	41	461561632.194295	461561769.774716
23	49	479394862.310881	479395044.136142
24	54	492718135.742316	492757010.985281
25	48	494086770.539307	494086925.962102
26	48	495408932.592065	495409104.286891
27	41	497850074.245163	497850214.990798
28	51	501099594.313544	501099728.891538
29	47	529736363.119156	529736472.021154
30	46	537375631.559991	537375805.217350
