1	478941137.053364
z03mangahere	Pen to Chocolate	21	478941035.192515	L	http://www.mangahere.co/manga/pen_to_chocolate/	478941035.192515
1		474147035.131767	474147154.194270
2		474147154.910979	474147264.186797
3		474147264.979105	474147327.925402
4	19	474147328.341376	474147429.656602
5		474825284.677045	474825416.127345
6	21	474825416.713186	474825511.893859
7		475311704.746138	475311846.537694
8	19	475311847.275039	475311963.089265
9		475890737.587115	475890831.153012
10	27	475890831.513644	475890924.393857
11		476474012.146117	476474137.977721
12	17	476474138.832508	476474239.806698
14		477122774.525914	477122774.525914
13		477122774.809600	477122774.809600
16		477809164.746251	477809164.746251
15		477809165.069485	477809165.069485
17		478415354.598644	478415394.869584
18	17	478415395.787811	478415447.359187
19		478940844.255285	478940944.690029
20		478940945.892357	478941034.029245
21	20	478941035.192515	478941137.039851
