1	558977172.963565
z03mangahere	Senpai, Sore Hitokuchi Kudasai!	28	489470426.899336	L	http://www.mangahere.cc/manga/senpai_sore_hitokuchi_kudasai/	489470426.899336
1		460276308.328847	460276359.995237
2	7	460276360.656968	460276426.013429
3		462108511.479695	462108534.248261
4	8	462108535.065938	462108590.332047
5		463491672.485823	463491703.546776
6	5	463491704.274360	463491756.431430
7		463984932.186543	463984951.283506
8	5	463984952.015753	463984991.071404
9		464701345.862608	464701345.862608
10	6	465368217.563526	465368274.934980
11	3	465973896.316569	465973915.106873
12	7	466487629.799019	466487676.869932
13		474319491.215901	474319516.010889
15		474319516.811693	474319536.711525
16		474319537.850870	474319585.990436
17	9	474319587.178481	474319638.784676
14		474359992.448803	474359992.448803
18	8	481249698.678082	481249764.486198
19		482264046.536899	482264077.423366
20		482264078.408023	482264146.748504
21	3	482264147.368081	482264162.492137
22		483426267.431442	483426483.235660
23	6	483426483.981830	483426592.068504
24		485040209.781259	485040252.729516
25		485040253.423926	485040283.630927
26		485040284.045764	485040317.017049
27	6	485040317.649326	485040336.706891
28	21	489470426.899336	489470620.964976
