1	20150513
Soundimals	James Chapman	http://www.tapastic.com/series/Soundimals	N	N	N	N
Season of Su	Jun Lee	http://www.tapastic.com/series/seasonofsu	N	N	N	N
Ang	Joy Ang	http://www.tapastic.com/series/590	N	N	N	N
Pink Zombies	Mika Weiseth	http://www.tapastic.com/series/pinkzombies	N	N	N	N
My Perfect You	Jaggedge	http://www.tapastic.com/series/My-Perfect-You	N	N	N	N
Lost Nightmare	Miyuli	http://www.tapastic.com/series/Lost-Nightmare	N	N	N	N
Deadbrain	Teddyas	http://www.tapastic.com/series/Deadbrain	N	N	N	N
Brutally Honest	deya muniz	http://www.tapastic.com/series/Brutally-Honest	N	N	N	N
Falling	Pary Shah	http://www.tapastic.com/series/Falling	N	N	N	N
Samurai Genji	dinmoney	http://www.tapastic.com/series/SamuraiGenji	N	N	N	N
Werewolf Breeding	Joon-sik & Ji-oon	http://www.tapastic.com/series/Werewolf-Breeding	N	N	N	N
Kreyul	SnaiLords	http://www.tapastic.com/series/ThePalette	N	N	N	N
Trying Human	IntroducingEmy	http://www.tapastic.com/series/Trying-Human	N	N	N	N
Gloomy The LivingDoll	Hackto Oshiro	http://www.tapastic.com/series/Gloomy-The-LivingDoll	N	N	N	N
Infinite Nap	Claire Jarvis	http://www.tapastic.com/series/infinitenap	N	N	N	N
GATEKEEPER	boxno	http://www.tapastic.com/series/gatekeeper	N	N	N	N
Chronoctis Express	Aerinn	http://www.tapastic.com/series/Chronoctis-Express	N	N	N	N
SA2&E	Yufei	http://www.tapastic.com/series/SA2E	N	N	N	N
Castor	Mika Weiseth	http://www.tapastic.com/series/castor	N	N	N	N
UP and OUT	Jeremy Kaye	http://www.tapastic.com/series/UP-and-OUT	N	N	N	N
Jamie	NDGO	http://www.tapastic.com/series/Jamie	N	N	N	N
Crash 'n' Burn	Mikiko	http://www.tapastic.com/series/Crash-n-Burn	N	N	N	N
Short Stories	Maya Kern	http://www.tapastic.com/series/Short-Stories1	N	N	N	N
The Gentleman's Armchair	Wes Hotchkiss	http://www.tapastic.com/series/thegentlemansarmchair	N	N	N	N
Heart of Keol	keiiii	http://www.tapastic.com/series/keol	N	N	N	N
ERA: Ibuki	Wave	http://www.tapastic.com/series/ERA-Ibuki	N	N	N	N
