1	562042987.130961
z13mangadex	Peerless Dad	50.5	562042948.793961	B	https://mangadex.org/title/29130/peerless-dad	562042948.793961
0		555951740.576329	555951747.473863
1		555951748.101736	555951974.868653
2		555951975.573017	555952064.803277
3		555952065.452956	555952223.963146
4		555952224.590319	555952478.846596
5		555952479.613456	555952559.869778
6		555952560.558417	555952688.426178
7		555952689.007228	555952789.898073
8		555952790.570805	555952937.205412
9		555952937.468847	555953028.810633
10		555953029.060649	555953103.712770
11		555953104.373188	555953174.199538
12		555953174.831944	555953299.208138
13	023	555953299.865412	555953739.328777
14		556044298.196414	556044298.196414
15		556044298.663422	556044298.663422
16		556215358.601810	556215360.445027
17	022	556215360.946896	556215454.024039
18	021	556287674.117009	556287831.882610
19		556326350.305769	556326350.305769
20		556384900.011634	556384900.011634
21	022	556600410.141525	556600547.334437
22	020	557206235.591750	557206341.999610
23	021	557789966.228115	557790166.222882
24	018	558447866.988345	558448013.721884
25	019	559451378.773119	559451549.597621
26		559751309.123915	559751459.447233
27		559751459.824623	559751996.790911
28		559751997.141895	559752099.058004
29		559752099.913655	559752336.340505
30		559752336.853748	559752444.765951
31	017	559752445.174577	559752626.678482
30-2		559971547.591015	559971547.591015
29-2		559971547.591015	559971547.591015
28-2		559971547.591015	559971547.591015
27-2		559971547.591015	559971547.591015
31-2		559971552.630450	559971574.609019
32	018	559971575.061759	559971893.059128
33		561302456.268611	561302646.860683
34	017	561302647.150982	561302909.076300
35	017	561388758.204559	561388910.095007
36	017	561438131.961531	561438300.667141
33-2		561476645.563547	561476645.563547
37	016	561476663.689635	561476834.304798
38		561525653.627843	561525831.331241
39		561525831.690414	561525987.940796
40	015	561525988.258547	561526209.090424
41	014	561578607.131744	561578737.608919
42		561645018.255359	561645251.726505
43		561645252.119172	561645365.930984
44	015	561645366.382936	561645476.873988
VOL1 33		561645484.292564	561645484.292564
VOL1 31		561645484.292564	561645484.292564
VOL1 30		561645484.292564	561645484.292564
VOL1 29		561645484.292564	561645484.292564
VOL1 28		561645484.292564	561645484.292564
VOL1 27		561645484.292564	561645484.292564
45	015	561679356.546389	561679470.846561
46		561705310.675858	561705553.595165
47	015	561705554.041142	561705726.316077
48	016	561765742.661636	561765854.423256
49	014	561790720.857667	561790883.168640
50	016	561873692.702299	561873895.650673
50.5	007	562042948.793961	562042987.130401
