1	567325375.549763
z13mangadex	Handyman Saitou In Another World	7.5	567325323.732453	L	https://mangadex.org/title/31078/handyman-saitou-in-another-world	567325323.732453
1		562534168.919452	562534223.438027
2		562534223.645846	562534242.288765
3	007	562534242.606252	562534308.332935
4	006	562958463.161244	562958488.221861
4.5	006	564209687.615686	564209723.271368
5	008	564779923.516504	564779976.650762
6	005	565399034.076570	565399076.433809
7	005	566280399.593769	566280464.451868
7.5	010	567325323.732453	567325373.906962
