1	556729903.743099
z13mangadex	Demi-chan wa Kataritai			L	https://mangadex.org/title/17258/demi-chan-wa-kataritai	0.000000
27		555527053.748841	555527053.748841
26		555527053.748841	555527053.748841
25		555527053.748841	555527053.748841
24		555527053.748841	555527053.748841
23		555527053.748841	555527053.748841
22		555527053.748841	555527053.748841
21.5		555527053.748841	555527053.748841
21		555527053.748841	555527053.748841
20		555527053.748841	555527053.748841
19		555527053.748841	555527053.748841
18		555527053.748841	555527053.748841
17		555527053.748841	555527053.748841
16.5		555527053.748841	555527053.748841
16		555527053.748841	555527053.748841
15		555527053.748841	555527053.748841
14		555527053.748841	555527053.748841
13		555527053.748841	555527053.748841
12		555527053.748841	555527053.748841
11		555527053.748841	555527053.748841
10		555527053.748841	555527053.748841
9		555527053.748841	555527053.748841
8		555527053.748841	555527053.748841
7		555527053.748841	555527053.748841
6		555527053.748841	555527053.748841
5		555527053.748841	555527053.748841
4		555527053.748841	555527053.748841
3		555527053.748841	555527053.748841
2		555527053.748841	555527053.748841
1		555527053.748841	555527053.748841
