1	568335027.054725
z13mangadex	Senpai ga Uzai Kouhai no Hanashi	57	568334970.376232	L	https://mangadex.org/title/23825/senpai-ga-uzai-kouhai-no-hanashi	568334970.376232
1		564726350.670548	564726410.088612
2		564726410.382367	564726451.108793
3		564726451.823941	564726487.727421
4		564726488.009516	564726514.527561
5		564726514.759533	564726549.462992
5.5		564726549.749530	564726564.628902
6		564726564.907998	564726595.115005
7		564726595.423556	564726630.815536
8		564726631.371439	564726672.584003
9		564726672.859123	564726696.317834
10		564726696.620833	564726713.336725
11		564726713.712088	564726731.537423
11.5		564726731.831671	564726747.071524
12		564726747.391063	564726779.389462
13		564726779.667766	564726803.173895
14		564726803.528175	564726830.674130
15		564726830.970012	564726853.007838
16		564726853.297204	564726924.195571
16.5		564726924.579088	564726942.661332
17		564726942.969591	564726969.162364
18		564726969.517434	564726999.048777
19		564726999.419003	564727021.266356
20		564727021.644039	564727042.434065
20.5		564727042.720043	564727114.470374
21		564727114.807738	564727137.453327
21.5		564727174.714236	564727260.176509
22		564727260.439808	564727279.426490
23		564727279.791929	564727315.012223
24		564727315.322903	564727355.697404
25		564727355.966235	564727394.832270
26	001	564727395.198050	565296476.803068
27		564727440.974887	564727465.268602
28		564727465.534859	564727504.219498
29		564727504.460137	564727541.138479
30		564727541.421542	564727587.673910
31		564727588.016767	564727626.991291
32		564727627.631324	564727660.243733
33		564727660.507834	564727741.163452
33.5		564727741.504553	564727758.878146
34		564727759.150481	564727790.394465
35		564727790.657433	564727821.228947
36		564727821.932546	564727857.130490
37		564727857.405107	564727893.764415
38		564727893.992096	564727925.633300
39		564727925.942678	564727957.415821
40		564727957.650125	564727995.700972
41	004	567801230.541314	567801240.569765
42		564728021.059782	564728052.920072
43		564728053.175826	564728087.139999
44		564728087.404386	564728100.490748
45		564728100.828316	564728120.573781
46		564728120.897530	564728152.624229
47		564728152.882434	564728167.326581
48		564728167.582790	564728190.376701
48-2		564728190.613085	564728195.463703
49		564728195.754847	564728237.646325
50		564728261.482930	564728283.781612
0		563476630.154584	563476670.953340
49.5		564728237.937434	564728261.111783
51		564728284.127619	564728317.899615
52	004	564728318.233242	564728330.324707
53	004	565296045.678753	565296095.738214
25.5		565296104.318272	565296476.649818
29.5	004	566566779.710065	566566822.063501
36.5	008	566566825.907952	566566877.336845
54	004	566566883.514496	566566919.924849
VOL1 4		567145048.372093	567145048.372093
VOL1 3		567145048.737229	567145048.737229
VOL1 1		567145049.437506	567145049.437506
33.6	002	567145056.349387	567145070.978244
40.5		567145075.409148	567145117.462631
41.5	012	567145117.829872	567145221.851029
55	004	567145226.612969	567145253.570380
56	004	567748569.323795	567748612.222434
40.3		567801174.004596	567801209.694004
40.1		567801136.515612	567801173.657117
40.4		567801219.228765	567801230.162831
57	004	568334970.376232	568335027.054394
