1	567564566.724467
z13mangadex	The Ancient Magus' Bride	52	567564357.601263	L	https://mangadex.org/title/10801/the-ancient-magus-bride	567564357.601263
48		556737635.190383	556737635.190383
47		556737635.190383	556737635.190383
46		556737635.190383	556737635.190383
45		556737635.190383	556737635.190383
44		556737635.190383	556737635.190383
43		556737635.190383	556737635.190383
42		556737635.190383	556737635.190383
41		556737635.190383	556737635.190383
40		556737635.190383	556737635.190383
39		556737635.190383	556737635.190383
38		556737635.190383	556737635.190383
37		556737635.190383	556737635.190383
36		556737635.190383	556737635.190383
35		556737635.190383	556737635.190383
34		556737635.190383	556737635.190383
33		556737635.190383	556737635.190383
32		556737635.190383	556737635.190383
31		556737635.190383	556737635.190383
30		556737635.190383	556737635.190383
29		556737635.190383	556737635.190383
28		556737635.190383	556737635.190383
27		556737635.190383	556737635.190383
26		556737635.190383	556737635.190383
25.5		556737635.190383	556737635.190383
25		556737635.190383	556737635.190383
24		556737635.190383	556737635.190383
23		556737635.190383	556737635.190383
22		556737635.190383	556737635.190383
21		556737635.190383	556737635.190383
20.5		556737635.190383	556737635.190383
20		556737635.190383	556737635.190383
19		556737635.190383	556737635.190383
18		556737635.190383	556737635.190383
17		556737635.190383	556737635.190383
16		556737635.190383	556737635.190383
15		556737635.190383	556737635.190383
14		556737635.190383	556737635.190383
13		556737635.190383	556737635.190383
12		556737635.190383	556737635.190383
11		556737635.190383	556737635.190383
10.5		556737635.190383	556737635.190383
VOL2 10		556737635.190383	556737635.190383
10		556737635.190383	556737635.190383
VOL2 9		556737635.190383	556737635.190383
9		556737635.190383	556737635.190383
VOL2 8		556737635.190383	556737635.190383
8		556737635.190383	556737635.190383
VOL2 7		556737635.190383	556737635.190383
7		556737635.190383	556737635.190383
VOL2 6		556737635.190383	556737635.190383
6		556737635.190383	556737635.190383
VOL1 5		556737635.190383	556737635.190383
5		556737635.190383	556737635.190383
VOL1 4		556737635.190383	556737635.190383
4		556737635.190383	556737635.190383
VOL1 3		556737635.190383	556737635.190383
3		556737635.190383	556737635.190383
VOL1 2		556737635.190383	556737635.190383
2		556737635.190383	556737635.190383
VOL1 1		556737635.190383	556737635.190383
1		556737635.190383	556737635.190383
49	034	557765210.152904	557765318.180536
50	033	560357615.214198	560358203.720850
51	035	565282907.393168	565283853.860487
52	041	567564357.601263	567564566.723853
