1	567096572.267418
z13mangadex	Misoshiru de Kanpai!	31	567096442.296863	L	https://mangadex.org/title/22281/misoshiru-de-kanpai	567096442.296863
25		562691769.976168	562691876.878947
24		562691546.406272	562691769.740639
23		562691484.030909	562691546.147260
22		562691378.227424	562691483.759281
21.5		562691274.832572	562691377.954658
21		562691191.249706	562691274.582394
20		562690979.353385	562691160.417412
19		562690882.096555	562690979.052615
18		562690780.490792	562690881.531780
17		562690627.152612	562690780.144103
16		562690539.659384	562690626.821091
15		562690447.284675	562690539.400587
14		562690354.857139	562690446.961494
13		562690267.855239	562690354.492559
12		562690179.498417	562690267.589061
11		562690075.247619	562690179.202026
10		562689957.666561	562690074.979881
9		562689869.790655	562689957.429321
8		562689776.217240	562689869.542610
7		562689660.366516	562689776.005502
6		562689575.776462	562689660.016790
5		562689290.934469	562689575.464131
4		562689207.283454	562689290.602693
3		562688952.324300	562689206.699240
2		562688714.186229	562688951.703382
1		562687359.526473	562688713.793816
26		562691877.191457	562691979.233196
27		562691979.557225	562692034.185787
28		562692034.492989	562692096.288393
29		562692096.638922	562692244.978372
29.5	008	562692245.270197	562692253.098666
30	041	565630854.006958	565631040.985512
31	033	567096442.296863	567096572.266820
