1	555344709.282128
z09mangatown	Kenja no Mago	12	555344613.229685	L	http://m.mangatown.com/manga/kenja_no_mago	555344613.229685
0		545841412.791706	545841441.711908
1		545841442.132612	545841601.936948
1.2		545841602.563974	545841734.623655
2		545841735.214869	545842031.235464
3		545842031.850957	545842985.116376
4		545842985.477940	545843265.078391
5		545843265.688014	545843916.681693
6		545843917.139148	545844480.732347
7		545844481.370706	545844723.693979
8		545844724.323812	545860079.680483
9		545860080.268469	545860263.004155
9.5		545860263.560960	545860367.158354
10		545860367.694051	545860578.652875
11		547127938.904785	547128245.759248
12	15	555344613.229685	555344707.827389
10.5		555344609.076988	555344609.076988
10.1		555344609.442151	555344609.442151
